seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
11,0,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4723192059944151,125.1
11,1,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46668920430094935,125.1
11,2,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4783035911054357,125.1
11,3,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46845990805837445,125.1
11,4,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46801382601009345,125.1
11,5,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-733.4,0.0,-0.47786755616093235,125.1
11,6,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-836.1333333333333,0.0,-0.4570357581405227,125.1
11,7,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-983.2,0.0,-0.4459628005695765,125.1
11,8,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-629.0,0.0,-0.4316754089377841,125.1
11,9,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-442.06666666666666,0.0,-0.40708005276967646,125.1
11,10,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-285.8666666666667,0.0,-0.3283787077582269,125.1
11,11,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-985.0666666666667,-350.46666666666664,0.13333333333333333,0.03500588669622488,125.1
11,12,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-657.4666666666667,-269.93333333333334,1.0,0.5,125.1
11,13,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-416.2,-276.2,1.0,0.5,125.1
11,14,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-360.2,-219.33333333333334,1.0,0.5,125.1
11,15,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-277.06666666666666,-215.46666666666667,1.0,0.5,125.1
11,16,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-287.73333333333335,-196.13333333333333,1.0,0.5,125.1
11,17,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-264.2,-207.06666666666666,1.0,0.5,125.1
11,18,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-278.73333333333335,-181.33333333333334,1.0,0.5,125.1
11,19,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-220.0,-173.53333333333333,1.0,0.5,125.1
11,20,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-211.4,-178.53333333333333,1.0,0.5,125.1
11,21,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-187.8,-165.53333333333333,1.0,0.5,125.1
11,22,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-171.73333333333332,-151.4,1.0,0.5,125.1
11,23,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-174.46666666666667,-146.06666666666666,1.0,0.5,125.1
11,24,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-155.66666666666666,-153.4,1.0,0.5,125.1
11,25,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-165.06666666666666,-128.13333333333333,1.0,0.5,125.1
11,26,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-154.6,-132.93333333333334,1.0,0.5,125.1
11,27,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-146.53333333333333,-121.93333333333334,1.0,0.5,125.1
11,28,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-136.4,-134.0,1.0,0.5,125.1
11,29,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-148.86666666666667,-120.46666666666667,1.0,0.5,125.1
11,30,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-148.8,-122.0,1.0,0.5,125.1
11,31,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.33333333333334,-122.66666666666667,1.0,0.5,125.1
11,32,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.0,-123.46666666666667,1.0,0.5,125.1
11,33,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.13333333333334,-119.2,1.0,0.5,125.1
11,34,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.26666666666668,-120.26666666666667,1.0,0.5,125.1
11,35,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.0,-117.73333333333333,1.0,0.5,125.1
11,36,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.33333333333333,-121.13333333333334,1.0,0.5,125.1
11,37,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.33333333333333,-118.66666666666667,1.0,0.5,125.1
11,38,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.86666666666666,-110.46666666666667,1.0,0.5,125.1
11,39,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.6,-119.0,1.0,0.5,125.1
11,40,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.53333333333333,-115.8,1.0,0.5,125.1
11,41,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.13333333333334,-120.6,1.0,0.5,125.1
11,42,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.4,-110.6,1.0,0.5,125.1
11,43,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.33333333333333,-122.66666666666667,1.0,0.5,125.1
11,44,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.66666666666667,-117.53333333333333,1.0,0.5,125.1
11,45,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.53333333333333,-122.86666666666666,1.0,0.5,125.1
11,46,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.8,-117.73333333333333,1.0,0.5,125.1
11,47,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.53333333333333,-116.86666666666666,1.0,0.5,125.1
11,48,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.33333333333334,-112.06666666666666,1.0,0.5,125.1
11,49,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.26666666666668,-116.33333333333333,1.0,0.5,125.1
11,50,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-115.0,-109.4,1.0,0.5,125.1
11,51,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.13333333333334,-112.4,1.0,0.5,125.1
11,52,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.33333333333333,-116.93333333333334,1.0,0.5,125.1
11,53,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.66666666666667,-115.26666666666667,1.0,0.5,125.1
11,54,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.66666666666667,-118.13333333333334,1.0,0.5,125.1
11,55,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.93333333333334,-116.26666666666667,1.0,0.5,125.1
11,56,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.0,-120.6,1.0,0.5,125.1
11,57,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.33333333333334,-118.4,1.0,0.5,125.1
11,58,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.0,-115.4,1.0,0.5,125.1
11,59,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.0,-116.13333333333334,1.0,0.5,125.1
11,60,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.8,-115.53333333333333,1.0,0.5,125.1
11,61,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.8,-109.8,1.0,0.5,125.1
11,62,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.33333333333333,-112.66666666666667,1.0,0.5,125.1
11,63,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.53333333333333,-113.33333333333333,1.0,0.5,125.1
11,64,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.73333333333333,-113.26666666666667,1.0,0.5,125.1
11,65,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.4,-113.26666666666667,1.0,0.5,125.1
11,66,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.33333333333333,-113.0,1.0,0.5,125.1
11,67,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.53333333333333,-116.93333333333334,1.0,0.5,125.1
11,68,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.06666666666666,-112.2,1.0,0.5,125.1
11,69,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-110.86666666666666,-107.06666666666666,1.0,0.5,125.1
22,0,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.34483928003285735,125.6
22,1,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.30348993753207776,125.6
22,2,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.34405418089549406,125.6
22,3,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3041982600372555,125.6
22,4,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.35182124420817823,125.6
22,5,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3172084174432646,125.6
22,6,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.2790985007589791,125.6
22,7,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.3226732047599324,125.6
22,8,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.2836091008225511,125.6
22,9,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-415.3333333333333,0.0,-0.2952820301265372,125.6
22,10,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-294.53333333333336,0.0,-0.17726910816698593,125.6
22,11,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-993.8,0.0,0.014717936068727674,125.6
22,12,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-232.26666666666668,0.0,0.06763760737837306,125.6
22,13,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-602.2666666666667,0.0,0.10358742524915261,125.6
22,14,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-1000.0,-197.06666666666666,0.0,0.18369405756475096,125.6
22,15,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-469.3333333333333,-167.2,0.9333333333333333,0.49891928893098386,125.6
22,16,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-238.2,-161.6,1.0,0.5,125.6
22,17,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-178.0,-147.46666666666667,1.0,0.5,125.6
22,18,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-179.86666666666667,-154.53333333333333,1.0,0.5,125.6
22,19,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-177.6,-151.0,1.0,0.5,125.6
22,20,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-160.33333333333334,-136.8,1.0,0.5,125.6
22,21,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-170.4,-136.8,1.0,0.5,125.6
22,22,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-143.13333333333333,-125.53333333333333,1.0,0.5,125.6
22,23,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-143.93333333333334,-132.26666666666668,1.0,0.5,125.6
22,24,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-131.4,-121.53333333333333,1.0,0.5,125.6
22,25,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-141.2,-118.4,1.0,0.5,125.6
22,26,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-130.86666666666667,-119.33333333333333,1.0,0.5,125.6
22,27,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-138.4,-118.26666666666667,1.0,0.5,125.6
22,28,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-130.26666666666668,-122.06666666666666,1.0,0.5,125.6
22,29,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.46666666666667,-120.4,1.0,0.5,125.6
22,30,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.6,-118.73333333333333,1.0,0.5,125.6
22,31,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.4,-128.93333333333334,1.0,0.5,125.6
22,32,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-151.13333333333333,-123.53333333333333,1.0,0.5,125.6
22,33,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-135.8,-118.53333333333333,1.0,0.5,125.6
22,34,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.6,-119.13333333333334,1.0,0.5,125.6
22,35,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.2,-114.46666666666667,1.0,0.5,125.6
22,36,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.26666666666667,-112.66666666666667,1.0,0.5,125.6
22,37,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.26666666666667,-116.13333333333334,1.0,0.5,125.6
22,38,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.06666666666666,-116.53333333333333,1.0,0.5,125.6
22,39,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.33333333333333,-119.6,1.0,0.5,125.6
22,40,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.8,-119.46666666666667,1.0,0.5,125.6
22,41,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.06666666666666,-121.26666666666667,1.0,0.5,125.6
22,42,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.6,-118.53333333333333,1.0,0.5,125.6
22,43,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.2,-114.66666666666667,1.0,0.5,125.6
22,44,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.93333333333334,-116.93333333333334,1.0,0.5,125.6
22,45,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.6,-119.2,1.0,0.5,125.6
22,46,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.8,-113.4,1.0,0.5,125.6
22,47,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.2,-113.06666666666666,1.0,0.5,125.6
22,48,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.06666666666666,-115.86666666666666,1.0,0.5,125.6
22,49,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.26666666666667,-109.66666666666667,1.0,0.5,125.6
22,50,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-110.86666666666666,-117.8,1.0,0.5,125.6
22,51,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-133.6,-122.93333333333334,1.0,0.5,125.6
22,52,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.46666666666667,-117.33333333333333,1.0,0.5,125.6
22,53,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.2,-115.73333333333333,1.0,0.5,125.6
22,54,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-111.8,-108.66666666666667,1.0,0.5,125.6
22,55,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-115.0,-119.4,1.0,0.5,125.6
22,56,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.0,-114.2,1.0,0.5,125.6
22,57,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-125.06666666666666,-116.0,1.0,0.5,125.6
22,58,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.86666666666666,-111.86666666666666,1.0,0.5,125.6
22,59,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.73333333333333,-114.0,1.0,0.5,125.6
22,60,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.66666666666667,-114.66666666666667,1.0,0.5,125.6
22,61,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-110.46666666666667,-115.53333333333333,1.0,0.5,125.6
22,62,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-111.0,-109.26666666666667,1.0,0.5,125.6
22,63,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.13333333333334,-118.66666666666667,1.0,0.5,125.6
22,64,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.33333333333333,-119.0,1.0,0.5,125.6
22,65,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.0,-111.4,1.0,0.5,125.6
22,66,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.6,-116.86666666666666,1.0,0.5,125.6
22,67,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.2,-107.6,1.0,0.5,125.6
22,68,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-115.4,-113.86666666666666,1.0,0.5,125.6
22,69,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-102.73333333333333,-110.73333333333333,1.0,0.5,125.6
33,0,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-646.5333333333333,-245.06666666666666,1.0,0.5,87.7
33,1,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-384.53333333333336,-187.26666666666668,1.0,0.5,87.7
33,2,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-265.4,-179.06666666666666,1.0,0.5,87.7
33,3,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-222.8,-178.8,1.0,0.5,87.7
33,4,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-217.66666666666666,-196.06666666666666,1.0,0.5,87.7
33,5,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-200.66666666666666,-185.0,1.0,0.5,87.7
33,6,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-194.53333333333333,-169.86666666666667,1.0,0.5,87.7
33,7,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-199.86666666666667,-151.06666666666666,1.0,0.5,87.7
33,8,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-183.13333333333333,-143.53333333333333,1.0,0.5,87.7
33,9,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-167.8,-162.6,1.0,0.5,87.7
33,10,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-186.06666666666666,-152.73333333333332,1.0,0.5,87.7
33,11,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-170.53333333333333,-143.66666666666666,1.0,0.5,87.7
33,12,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-166.06666666666666,-138.93333333333334,1.0,0.5,87.7
33,13,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-145.26666666666668,-126.0,1.0,0.5,87.7
33,14,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-145.73333333333332,-141.4,1.0,0.5,87.7
33,15,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-146.2,-130.26666666666668,1.0,0.5,87.7
33,16,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-153.13333333333333,-128.26666666666668,1.0,0.5,87.7
33,17,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.2,-129.2,1.0,0.5,87.7
33,18,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.33333333333334,-118.2,1.0,0.5,87.7
33,19,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-137.2,-126.73333333333333,1.0,0.5,87.7
33,20,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-145.46666666666667,-128.73333333333332,1.0,0.5,87.7
33,21,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-131.26666666666668,-128.33333333333334,1.0,0.5,87.7
33,22,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-136.13333333333333,-125.53333333333333,1.0,0.5,87.7
33,23,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-135.2,-123.0,1.0,0.5,87.7
33,24,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-133.86666666666667,-124.4,1.0,0.5,87.7
33,25,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.0,-107.13333333333334,1.0,0.5,87.7
33,26,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.86666666666667,-114.13333333333334,1.0,0.5,87.7
33,27,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.86666666666666,-118.6,1.0,0.5,87.7
33,28,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-125.8,-117.66666666666667,1.0,0.5,87.7
33,29,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.0,-113.86666666666666,1.0,0.5,87.7
33,30,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-133.53333333333333,-120.73333333333333,1.0,0.5,87.7
33,31,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-125.33333333333333,-117.8,1.0,0.5,87.7
33,32,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.0,-113.2,1.0,0.5,87.7
33,33,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-115.53333333333333,-116.46666666666667,1.0,0.5,87.7
33,34,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-125.13333333333334,-114.13333333333334,1.0,0.5,87.7
33,35,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-113.66666666666667,-114.73333333333333,1.0,0.5,87.7
33,36,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.53333333333333,-114.46666666666667,1.0,0.5,87.7
33,37,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.93333333333334,-119.46666666666667,1.0,0.5,87.7
33,38,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.93333333333334,-111.93333333333334,1.0,0.5,87.7
33,39,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.86666666666666,-115.4,1.0,0.5,87.7
33,40,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.0,-114.6,1.0,0.5,87.7
33,41,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-112.0,-114.26666666666667,1.0,0.5,87.7
33,42,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.26666666666667,-114.93333333333334,1.0,0.5,87.7
33,43,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.66666666666667,-115.6,1.0,0.5,87.7
33,44,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-113.53333333333333,-113.13333333333334,1.0,0.5,87.7
33,45,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-125.6,-115.66666666666667,1.0,0.5,87.7
33,46,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-113.53333333333333,-108.93333333333334,1.0,0.5,87.7
33,47,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.4,-119.26666666666667,1.0,0.5,87.7
33,48,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.66666666666667,-108.13333333333334,1.0,0.5,87.7
33,49,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-113.73333333333333,-108.6,1.0,0.5,87.7
33,50,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-111.13333333333334,-118.86666666666666,1.0,0.5,87.7
33,51,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.93333333333334,-114.33333333333333,1.0,0.5,87.7
33,52,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.93333333333334,-111.73333333333333,1.0,0.5,87.7
33,53,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-141.73333333333332,-113.66666666666667,1.0,0.5,87.7
33,54,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.06666666666666,-118.73333333333333,1.0,0.5,87.7
33,55,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.53333333333333,-115.0,1.0,0.5,87.7
33,56,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.8,-113.4,1.0,0.5,87.7
33,57,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-131.26666666666668,-113.46666666666667,1.0,0.5,87.7
33,58,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.73333333333333,-113.2,1.0,0.5,87.7
33,59,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.13333333333334,-115.93333333333334,1.0,0.5,87.7
33,60,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.2,-114.8,1.0,0.5,87.7
33,61,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-113.4,-111.66666666666667,1.0,0.5,87.7
33,62,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-107.46666666666667,-114.33333333333333,1.0,0.5,87.7
33,63,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.8,-109.33333333333333,1.0,0.5,87.7
33,64,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.2,-117.86666666666666,1.0,0.5,87.7
33,65,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.6,-111.26666666666667,1.0,0.5,87.7
33,66,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-120.6,-115.06666666666666,1.0,0.5,87.7
33,67,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.6,-115.6,1.0,0.5,87.7
33,68,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.8,-108.93333333333334,1.0,0.5,87.7
33,69,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-106.46666666666667,-113.0,1.0,0.5,87.7
